time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1627020248.747372462,-1.43214,-0.165105,1.40169,-1.14607,0.0721271,1.34045,-1.19075,-0.0876211,1.35353,-1.13617,-0.168512,1.04708,-1.07521,-0.195008,0.864298,-1.12439,0.210951,1.32802,-1.08077,0.28446,1.05193,-1.01135,0.240773,0.820583,-1.2395,-0.0628544,0.81419,-1.19149,-0.0020558,0.502424,-1.20129,0.000745079,0.118238,-1.11406,0.134354,0.838976,-1.19087,0.071148,0.50307,-1.16047,0.0605542,0.108081,-1.161,0.0610244,1.01637
1627020248.768206882,-1.63773,-0.285979,1.38018,-1.13352,0.0776711,1.3371,-1.19075,-0.0876211,1.35353,-1.13617,-0.168512,1.04708,-1.07521,-0.195008,0.864298,-1.11643,0.216264,1.32484,-1.07825,0.285023,1.05018,-1.01495,0.240828,0.821965,-1.34979,-0.134329,0.771415,-1.19149,-0.0020558,0.502424,-1.19064,-0.00648482,0.115864,-1.10228,0.141121,0.834115,-1.18657,0.0762359,0.491498,-1.14742,0.0652767,0.103125,-1.17991,0.0562074,1.00007
1627020248.791806771,-1.63773,-0.285979,1.38018,-1.14394,0.0887372,1.33767,-1.1986,-0.0784884,1.34846,-1.13617,-0.168512,1.04708,-1.07521,-0.195008,0.864298,-1.11641,0.215833,1.32506,-1.08135,0.285134,1.05308,-1.01495,0.240828,0.821965,-1.344,-0.102317,0.780924,-1.19545,0.00906661,0.500993,-1.19521,0.00231787,0.115271,-1.11019,0.145476,0.834743,-1.18657,0.0762359,0.491498,-1.14684,0.0649064,0.0942866,-1.19064,0.0710869,1.00353
1627020248.831590410,-1.63773,-0.285979,1.38018,-1.15431,0.070885,1.34573,-1.19225,-0.0869827,1.35323,-1.14031,-0.176321,1.05316,-1.07521,-0.195008,0.864298,-1.13079,0.203077,1.33237,-1.08135,0.285134,1.05308,-1.01495,0.240828,0.821965,-1.32568,-0.104222,0.803993,-1.19772,-0.00795784,0.520376,-1.20152,-0.00815451,0.136582,-1.13663,0.124894,0.846675,-1.19084,0.0710666,0.500048,-1.16216,0.0608629,0.107663,-1.20198,0.0512978,1.01923
1627020248.855876041,-1.48726,-0.201727,1.39641,-1.13406,0.078474,1.3358,-1.19225,-0.0869827,1.35323,-1.13305,-0.168162,1.0415,-1.07521,-0.195008,0.864298,-1.1169,0.214336,1.32397,-1.0789,0.285366,1.05134,-1.00527,0.237777,0.81759,-1.24674,-0.0735122,0.796813,-1.18964,0.00124905,0.496148,-1.18598,-0.00263035,0.113926,-1.09967,0.142672,0.832007,-1.18704,0.0788548,0.489131,-1.14865,0.0658448,0.103094,-1.14966,0.0674142,1.00565
1627020248.867205880,-1.48726,-0.201727,1.39641,-1.14286,0.0871217,1.33737,-1.19941,-0.0763792,1.34936,-1.13305,-0.168162,1.0415,-1.07521,-0.195008,0.864298,-1.11731,0.214113,1.32451,-1.08204,0.284862,1.05219,-1.00527,0.237777,0.81759,-1.24663,-0.0487387,0.80564,-1.19331,0.0101562,0.496264,-1.19093,0.00490661,0.11383,-1.10643,0.145153,0.833716,-1.18704,0.0788548,0.489131,-1.14775,0.0652548,0.0941334,-1.16031,0.0788013,1.00976
1627020248.883527537,-1.48726,-0.201727,1.39641,-1.15195,0.0719373,1.34434,-1.19294,-0.0851635,1.35399,-1.13618,-0.173575,1.05413,-1.08256,-0.191824,0.863626,-1.12917,0.203953,1.33039,-1.08204,0.284862,1.05219,-1.00527,0.237777,0.81759,-1.24176,-0.056401,0.82348,-1.19527,-0.00472424,0.514692,-1.19683,-0.00406628,0.131931,-1.12973,0.127553,0.843165,-1.19196,0.0732574,0.496996,-1.16298,0.0594651,0.108641,-1.17352,0.0608932,1.0225
1627020248.899358500,-1.72816,-0.349962,1.37141,-1.13866,0.0772935,1.34113,-1.19294,-0.0851635,1.35399,-1.13618,-0.173575,1.05413,-1.08256,-0.191824,0.863626,-1.12035,0.209891,1.3275,-1.07859,0.285546,1.05305,-1.00482,0.238449,0.818429,-1.34046,-0.121473,0.786444,-1.19527,-0.00472424,0.514692,-1.18761,-0.0102892,0.128458,-1.11719,0.134337,0.838511,-1.18656,0.0783549,0.489694,-1.15155,0.0633505,0.103029,-1.18861,0.0565386,1.0082
1627020248.911355617,-1.57453,-0.263274,1.388,-1.13136,0.0788969,1.33604,-1.19294,-0.0851635,1.35399,-1.13033,-0.165902,1.04206,-1.08256,-0.191824,0.863626,-1.11657,0.214828,1.32313,-1.07859,0.285546,1.05305,-1.00482,0.238449,0.818429,-1.3023,-0.106169,0.781144,-1.18561,0.00378974,0.490851,-1.18308,-0.00134457,0.112522,-1.09691,0.142663,0.830684,-1.18656,0.0783549,0.489694,-1.15155,0.0633505,0.103029,-1.16345,0.061212,0.999949
1627020248.945794097,-1.57453,-0.263274,1.388,-1.13969,0.0870526,1.33751,-1.20052,-0.0740198,1.3503,-1.13033,-0.165902,1.04206,-1.08256,-0.191824,0.863626,-1.11696,0.214765,1.32375,-1.08182,0.285809,1.05371,-1.00482,0.238449,0.818429,-1.29846,-0.0812329,0.790606,-1.18988,0.0124649,0.491755,-1.18785,0.0053608,0.112456,-1.10331,0.145033,0.832368,-1.18656,0.0783549,0.489694,-1.15046,0.063051,0.0942434,-1.17242,0.0721728,1.00422
1627020248.959833554,-1.57453,-0.263274,1.388,-1.14872,0.0724758,1.3443,-1.19377,-0.0830276,1.3547,-1.13406,-0.171857,1.05627,-1.09078,-0.189451,0.866628,-1.12842,0.204759,1.32969,-1.08182,0.285809,1.05371,-1.00482,0.238449,0.818429,-1.28935,-0.0856607,0.808901,-1.1925,-0.00360493,0.512052,-1.19385,-0.00342097,0.12998,-1.12548,0.128298,0.842426,-1.19146,0.0726333,0.497758,-1.16533,0.0591204,0.107786,-1.18384,0.0557519,1.01729
1627020248.972779104,-1.57453,-0.263274,1.388,-1.13532,0.0780641,1.3414,-1.19377,-0.0830276,1.3547,-1.13406,-0.171857,1.05627,-1.09078,-0.189451,0.866628,-1.12077,0.209982,1.32688,-1.07972,0.285656,1.05375,-0.993775,0.234742,0.813249,-1.25814,-0.0741328,0.808413,-1.1925,-0.00360493,0.512052,-1.18528,-0.00961422,0.126932,-1.11461,0.134364,0.837871,-1.1873,0.0774229,0.487017,-1.14972,0.0651773,0.103882,-1.16253,0.0651002,1.01438
1627020249.6457266,-1.43446,-0.186305,1.40359,-1.12927,0.0797214,1.33624,-1.19377,-0.0830276,1.3547,-1.12707,-0.164711,1.04494,-1.09078,-0.189451,0.866628,-1.11675,0.214717,1.32273,-1.07972,0.285656,1.05375,-0.993775,0.234742,0.813249,-1.2291,-0.0628594,0.802807,-1.18459,0.00264736,0.489218,-1.18508,-0.000223406,0.109706,-1.0959,0.140858,0.830009,-1.1873,0.0774229,0.487017,-1.14972,0.0651773,0.103882,-1.1413,0.0685274,1.00634
