time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1627020267.523167271,1.58064,0.267855,1.63043,1.51584,0.309179,1.44584,1.47689,0.19195,1.4477,1.47767,0.16542,1.15449,1.458,0.135488,0.928682,1.58434,0.451948,1.44074,1.66007,0.511056,1.1391,1.71267,0.482025,0.828069,1.51283,0.235772,0.87375,1.43036,0.214865,0.527398,1.47098,0.251397,0.0269135,1.62212,0.426698,0.887317,1.58214,0.446329,0.459258,1.62775,0.434091,-0.000742107,1.54379,0.332505,1.06944
1627020267.540136422,1.58064,0.267855,1.63043,1.50168,0.30701,1.44944,1.46835,0.185902,1.4504,1.47099,0.158322,1.15475,1.46913,0.123703,0.918744,1.56848,0.45148,1.44263,1.66007,0.511056,1.1391,1.71267,0.482025,0.828069,1.49529,0.229572,0.877969,1.4258,0.209836,0.527913,1.45529,0.244538,0.0474343,1.59454,0.423781,0.886717,1.57121,0.442936,0.462568,1.62775,0.434091,-0.000742107,1.51825,0.323838,1.07347
1627020267.587627060,1.58064,0.267855,1.63043,1.4988,0.312825,1.45172,1.46124,0.191022,1.45238,1.46126,0.156964,1.15203,1.45772,0.134163,0.927135,1.56848,0.45148,1.44263,1.6563,0.512041,1.1377,1.70828,0.490603,0.815561,1.48099,0.234031,0.88022,1.43167,0.214111,0.52505,1.48979,0.228959,0.0365168,1.59106,0.427104,0.885142,1.57356,0.441876,0.465184,1.65693,0.425432,-0.00722306,1.50571,0.331477,1.07422
1627020267.604258548,1.58064,0.267855,1.63043,1.51067,0.310755,1.44771,1.47627,0.193809,1.44771,1.46126,0.156964,1.15203,1.45772,0.134163,0.927135,1.57694,0.450141,1.44351,1.65482,0.514089,1.13895,1.70741,0.480156,0.81732,1.50827,0.244812,0.875386,1.43167,0.214111,0.52505,1.49274,0.248958,0.0383718,1.6064,0.43589,0.885072,1.58249,0.442972,0.466418,1.64456,0.42315,0.00234964,1.52996,0.340204,1.06953
1627020267.614192732,1.58199,0.268992,1.62904,1.51816,0.308968,1.44412,1.47627,0.193809,1.44771,1.46126,0.156964,1.15203,1.45772,0.134163,0.927135,1.587,0.453086,1.43996,1.66125,0.509744,1.14128,1.71001,0.48314,0.822413,1.51844,0.239848,0.876814,1.43167,0.214111,0.52505,1.46707,0.252144,0.0240867,1.62447,0.423995,0.888046,1.58227,0.447072,0.454944,1.6269,0.435442,-0.00332226,1.54831,0.331993,1.07031
1627020267.627823103,1.58199,0.268992,1.62904,1.50256,0.306058,1.44824,1.46691,0.186929,1.45048,1.45502,0.149952,1.15282,1.46529,0.123219,0.918581,1.56917,0.452176,1.44274,1.66125,0.509744,1.14128,1.71001,0.48314,0.822413,1.50063,0.233267,0.880811,1.42915,0.207353,0.52652,1.45063,0.244917,0.0454965,1.59735,0.421712,0.887242,1.57063,0.443417,0.458956,1.6269,0.435442,-0.00332226,1.52184,0.322877,1.07444
1627020267.691264987,1.58199,0.268992,1.62904,1.4996,0.31183,1.45064,1.45918,0.191043,1.45219,1.44546,0.149474,1.15054,1.45406,0.133887,0.927195,1.56917,0.452176,1.44274,1.66125,0.509744,1.14128,1.71021,0.484184,0.825068,1.48658,0.237233,0.882992,1.43479,0.212322,0.524435,1.48157,0.230492,0.0358242,1.59424,0.424754,0.885857,1.57112,0.443106,0.46231,1.62569,0.436399,0.00423555,1.50947,0.330198,1.07529
1627020267.702716226,1.58486,0.269035,1.62853,1.50932,0.310751,1.4467,1.45918,0.191043,1.45219,1.44546,0.149474,1.15054,1.45406,0.133887,0.927195,1.58047,0.454827,1.43854,1.66911,0.505188,1.14359,1.71119,0.483237,0.835984,1.49991,0.232882,0.883493,1.43479,0.212322,0.524435,1.45375,0.236684,0.0216592,1.61475,0.413481,0.888985,1.56926,0.447856,0.44831,1.61057,0.446986,-0.00143976,1.5316,0.32296,1.07549
1627020267.739634364,1.58486,0.269035,1.62853,1.50446,0.30644,1.44766,1.46671,0.185901,1.45037,1.44242,0.143768,1.15124,1.46815,0.123224,0.916459,1.56845,0.451796,1.44235,1.66451,0.508632,1.14349,1.70827,0.474262,0.840165,1.50797,0.238432,0.883171,1.43018,0.207864,0.525842,1.44501,0.24816,0.0466371,1.59935,0.419635,0.888928,1.56879,0.445424,0.457806,1.60496,0.442022,0.0062701,1.52636,0.323432,1.07581
1627020267.763816340,1.58486,0.269035,1.62853,1.50112,0.312998,1.45045,1.45956,0.189455,1.45181,1.43382,0.144712,1.14703,1.45637,0.134293,0.923102,1.56845,0.451796,1.44235,1.66451,0.508632,1.14349,1.70713,0.479178,0.837731,1.49348,0.24199,0.885043,1.43821,0.211853,0.52304,1.47849,0.233368,0.0370107,1.59481,0.423641,0.887625,1.57016,0.444649,0.46169,1.62854,0.435423,0.0024078,1.51303,0.331433,1.07672
1627020267.784347500,1.58486,0.269035,1.62853,1.51271,0.311485,1.4483,1.47705,0.194515,1.44782,1.43382,0.144712,1.14703,1.45637,0.134293,0.923102,1.57754,0.450677,1.44308,1.65974,0.511876,1.143,1.70525,0.47163,0.835113,1.52083,0.253408,0.880549,1.43821,0.211853,0.52304,1.48175,0.252209,0.0382753,1.60954,0.431061,0.887007,1.57903,0.444748,0.463159,1.62138,0.432343,0.0106788,1.53714,0.340517,1.07218
1627020267.802038445,1.58486,0.269035,1.62853,1.49738,0.310014,1.45196,1.46739,0.187299,1.45052,1.43185,0.139512,1.14852,1.46507,0.123503,0.914708,1.5587,0.449542,1.44545,1.65974,0.511876,1.143,1.70525,0.47163,0.835113,1.50127,0.244624,0.884457,1.4321,0.208607,0.52281,1.46427,0.245246,0.0584152,1.5823,0.427795,0.886479,1.56829,0.441563,0.465964,1.62138,0.432343,0.0106788,1.51067,0.330596,1.07625
1627020267.812021143,1.58702,0.269052,1.6282,1.50621,0.309216,1.44817,1.46739,0.187299,1.45052,1.43185,0.139512,1.14852,1.46507,0.123503,0.914708,1.57043,0.452161,1.44147,1.66635,0.507104,1.14502,1.70683,0.472525,0.842437,1.51118,0.239646,0.884676,1.4321,0.208607,0.52281,1.43988,0.249484,0.0421729,1.60247,0.416994,0.889371,1.57004,0.445394,0.455203,1.60723,0.443054,0.00383135,1.53043,0.323784,1.07633
1627020267.849683517,1.58702,0.269052,1.6282,1.504,0.31445,1.45029,1.46018,0.191016,1.45201,1.42527,0.141089,1.14446,1.45374,0.13425,0.921444,1.57043,0.452161,1.44147,1.66635,0.507104,1.14502,1.70489,0.475441,0.838519,1.49744,0.24421,0.886205,1.43784,0.214129,0.52066,1.47544,0.233427,0.0298253,1.60165,0.419884,0.887447,1.57016,0.445481,0.459009,1.63322,0.435578,-0.00150006,1.51923,0.331414,1.07663
1627020267.867954785,1.58702,0.269052,1.6282,1.51539,0.312109,1.44645,1.47573,0.193998,1.4474,1.42527,0.141089,1.14446,1.45374,0.13425,0.921444,1.57997,0.450984,1.44213,1.66176,0.510017,1.14442,1.70272,0.468222,0.836534,1.52744,0.258348,0.882995,1.43784,0.214129,0.52066,1.48078,0.253741,0.0329479,1.61582,0.429666,0.887061,1.58103,0.447439,0.461926,1.62352,0.430716,0.00583687,1.54324,0.341348,1.07221
1627020267.894576308,1.58702,0.269052,1.6282,1.49892,0.310099,1.45047,1.4665,0.18693,1.4501,1.42585,0.136996,1.14592,1.46453,0.124094,0.912642,1.56225,0.450423,1.44438,1.66176,0.510017,1.14442,1.70272,0.468222,0.836534,1.50758,0.249113,0.886325,1.43128,0.210598,0.523164,1.46269,0.24622,0.0542524,1.58828,0.42682,0.886346,1.56879,0.443411,0.465559,1.62352,0.430716,0.00583687,1.51589,0.331182,1.07623
1627020267.905855932,1.58112,0.262246,1.62625,1.50719,0.309363,1.44678,1.4665,0.18693,1.4501,1.42585,0.136996,1.14592,1.46453,0.124094,0.912642,1.57372,0.452888,1.44067,1.66866,0.505252,1.14656,1.70456,0.470897,0.843606,1.51665,0.243566,0.886252,1.43128,0.210598,0.523164,1.43925,0.250109,0.0390351,1.60749,0.416337,0.889094,1.57073,0.446466,0.456683,1.60861,0.441869,-0.000728705,1.53468,0.324393,1.07618
1627020267.938561656,1.58112,0.262246,1.62625,1.51681,0.30759,1.44368,1.48503,0.193535,1.44649,1.42585,0.136996,1.14592,1.46453,0.124094,0.912642,1.5811,0.4516,1.44169,1.66548,0.507982,1.14635,1.70233,0.464838,0.842086,1.54131,0.256284,0.884927,1.43128,0.210598,0.523164,1.4458,0.262522,0.0387403,1.62003,0.425929,0.888857,1.57874,0.446567,0.458411,1.60444,0.438417,0.00681353,1.55438,0.333857,1.07301
1627020267.951382111,1.58112,0.262246,1.62625,1.51308,0.312735,1.44626,1.47547,0.197783,1.44894,1.42205,0.138408,1.14182,1.45313,0.134917,0.919836,1.5811,0.4516,1.44169,1.66548,0.507982,1.14635,1.69885,0.468393,0.842112,1.52679,0.258748,0.886102,1.43688,0.216374,0.52076,1.47352,0.249112,0.0308273,1.61569,0.428553,0.887633,1.57893,0.446033,0.461346,1.62412,0.433573,0.00349478,1.54156,0.340061,1.07382
1627020267.974601999,1.58112,0.262246,1.62625,1.49889,0.311113,1.44985,1.46611,0.190603,1.45175,1.42216,0.134271,1.14417,1.46255,0.124183,0.911917,1.56693,0.451605,1.44346,1.66548,0.507982,1.14635,1.69885,0.468393,0.842112,1.5086,0.250325,0.888825,1.43138,0.210941,0.523156,1.45916,0.243017,0.049739,1.59037,0.425963,0.887053,1.56906,0.442932,0.464215,1.62412,0.433573,0.00349478,1.51699,0.331191,1.07727
