time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1627020298.452546675,3.50287,0.0335458,1.34555,3.93987,-0.715343,1.23433,4.92478,-0.71216,1.0483,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.90677,-0.621493,1.24674,3.78707,-0.556111,1.04888,4.16365,-0.379802,0.879416,3.84112,-0.824478,0.837378,3.87533,-0.762945,0.428429,3.78256,-0.787271,0.115602,3.83738,-0.721628,0.820885,3.83464,-0.701246,0.439401,3.78387,-0.769477,0.0752145,3.86908,-0.755909,0.997201
1627020298.462424952,3.50287,0.0335458,1.34555,3.93987,-0.715343,1.23433,4.92478,-0.71216,1.0483,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.90677,-0.621493,1.24674,3.78707,-0.556111,1.04888,4.16365,-0.379802,0.879416,3.84112,-0.824478,0.837378,3.87533,-0.762945,0.428429,3.78256,-0.787271,0.115602,3.83738,-0.721628,0.820885,3.83464,-0.701246,0.439401,3.78387,-0.769477,0.0752145,3.86908,-0.755909,0.997201
1627020298.471953928,3.50287,0.0335458,1.34555,3.93987,-0.715343,1.23433,4.92478,-0.71216,1.0483,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.90677,-0.621493,1.24674,3.78707,-0.556111,1.04888,4.16365,-0.379802,0.879416,3.84112,-0.824478,0.837378,3.87533,-0.762945,0.428429,3.78256,-0.787271,0.115602,3.83738,-0.721628,0.820885,3.83464,-0.701246,0.439401,3.78387,-0.769477,0.0752145,3.86908,-0.755909,0.997201
1627020298.528791956,3.50287,0.0335458,1.34555,3.92517,-0.716692,1.23705,4.92367,-0.707989,1.04802,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.88736,-0.624314,1.2469,3.77449,-0.558673,1.04453,4.32168,-0.338574,0.833577,3.83733,-0.823128,0.828718,3.9126,-0.756712,0.408828,3.76633,-0.779524,0.113887,3.82538,-0.719747,0.81666,3.81647,-0.696021,0.440578,3.76087,-0.765645,0.0779104,3.8564,-0.756666,0.992939
1627020298.549361717,3.50287,0.0335458,1.34555,3.92517,-0.716692,1.23705,4.92367,-0.707989,1.04802,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.89802,-0.606262,1.25402,3.7829,-0.54079,1.05722,4.18385,-0.396327,0.841119,3.91222,-0.757332,0.81464,3.96849,-0.69128,0.427593,3.76633,-0.779524,0.113887,3.853,-0.657667,0.825518,3.83218,-0.585319,0.49436,3.75641,-0.725581,0.0896026,3.8564,-0.756666,0.992939
1627020298.565638513,3.50287,0.0335458,1.34555,3.92517,-0.716692,1.23705,4.92367,-0.707989,1.04802,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.89802,-0.606262,1.25402,3.7829,-0.54079,1.05722,4.18385,-0.396327,0.841119,3.91222,-0.757332,0.81464,3.96849,-0.69128,0.427593,3.76633,-0.779524,0.113887,3.853,-0.657667,0.825518,3.83218,-0.585319,0.49436,3.75641,-0.725581,0.0896026,3.8564,-0.756666,0.992939
1627020298.575372105,3.50287,0.0335458,1.34555,3.92517,-0.716692,1.23705,4.92367,-0.707989,1.04802,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.89802,-0.606262,1.25402,3.7829,-0.54079,1.05722,4.18385,-0.396327,0.841119,3.91222,-0.757332,0.81464,3.96849,-0.69128,0.427593,3.76633,-0.779524,0.113887,3.853,-0.657667,0.825518,3.83218,-0.585319,0.49436,3.75641,-0.725581,0.0896026,3.8564,-0.756666,0.992939
1627020298.633832357,3.50287,0.0335458,1.34555,3.89889,-0.715005,1.24176,4.92061,-0.70118,1.04317,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.87259,-0.599934,1.26043,3.75885,-0.543433,1.0624,4.02267,-0.425764,0.860482,3.92934,-0.717028,0.799915,3.9646,-0.62122,0.448304,3.76633,-0.779524,0.113887,3.84918,-0.618026,0.82393,3.81222,-0.592181,0.482748,3.73118,-0.691497,0.0999335,3.8351,-0.751548,0.992163
1627020298.668873228,3.50287,0.0335458,1.34555,3.89889,-0.715005,1.24176,4.92061,-0.70118,1.04317,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.87259,-0.599934,1.26043,3.75885,-0.543433,1.0624,4.02267,-0.425764,0.860482,3.92934,-0.717028,0.799915,3.9646,-0.62122,0.448304,3.76633,-0.779524,0.113887,3.84918,-0.618026,0.82393,3.81222,-0.592181,0.482748,3.73118,-0.691497,0.0999335,3.8351,-0.751548,0.992163
1627020298.681492032,3.50287,0.0335458,1.34555,3.89889,-0.715005,1.24176,4.92061,-0.70118,1.04317,3.90813,-0.87492,1.04004,3.8953,-0.834128,0.783798,3.87259,-0.599934,1.26043,3.75885,-0.543433,1.0624,4.02267,-0.425764,0.860482,3.92934,-0.717028,0.799915,3.9646,-0.62122,0.448304,3.76633,-0.779524,0.113887,3.84918,-0.618026,0.82393,3.81222,-0.592181,0.482748,3.73118,-0.691497,0.0999335,3.8351,-0.751548,0.992163
