time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1627020248.747372462,1.60833,0.2456,1.61158,1.49326,0.31104,1.45193,1.45481,0.188335,1.45883,1.39888,0.135186,1.16378,1.44383,0.123928,0.922901,1.56591,0.45087,1.43951,1.65918,0.494506,1.15143,1.70196,0.46052,0.871112,1.47182,0.216558,0.884609,1.45118,0.246741,0.518328,1.44593,0.237819,0.0369057,1.58428,0.404211,0.888882,1.56574,0.444327,0.452253,1.62984,0.437442,-0.00852892,1.5061,0.313559,1.08053
1627020248.768206882,1.60833,0.2456,1.61158,1.50451,0.311176,1.4482,1.47234,0.195979,1.45294,1.39888,0.135186,1.16378,1.44383,0.123928,0.922901,1.57385,0.449308,1.44064,1.65674,0.496135,1.1518,1.69904,0.454046,0.869379,1.48766,0.217425,0.873722,1.45118,0.246741,0.518328,1.45535,0.254818,0.0371885,1.59796,0.409758,0.886998,1.57415,0.444556,0.454401,1.62434,0.436114,0.00218198,1.52586,0.320225,1.07357
1627020248.791806771,1.60833,0.2456,1.61158,1.50058,0.314369,1.45055,1.46395,0.196347,1.45405,1.397,0.136058,1.16642,1.43227,0.134026,0.93149,1.57385,0.449308,1.44064,1.65174,0.497321,1.15011,1.70005,0.458119,0.869107,1.47634,0.22509,0.879006,1.44951,0.246673,0.518128,1.48583,0.238737,0.0278691,1.59597,0.413473,0.886041,1.57466,0.444684,0.458782,1.64986,0.429246,-0.00315968,1.51426,0.328093,1.07551
1627020248.831590410,1.60833,0.2456,1.61158,1.48369,0.308616,1.45515,1.45424,0.188254,1.4566,1.39974,0.131788,1.16519,1.44358,0.122947,0.922131,1.55448,0.448353,1.44412,1.65174,0.497321,1.15011,1.70005,0.458119,0.869107,1.46049,0.219667,0.884443,1.4404,0.23761,0.519148,1.46505,0.234232,0.051191,1.56553,0.410895,0.885369,1.56282,0.440826,0.45879,1.64986,0.429246,-0.00315968,1.48655,0.317446,1.08007
1627020248.867205880,1.60948,0.246079,1.61043,1.50192,0.313625,1.44973,1.46501,0.196683,1.45392,1.39828,0.1327,1.16765,1.43232,0.132942,0.930748,1.57552,0.449817,1.44009,1.65421,0.496679,1.14849,1.6991,0.457752,0.868597,1.47822,0.222018,0.876493,1.44477,0.237449,0.516808,1.47425,0.242807,0.0272643,1.59847,0.410192,0.886892,1.5743,0.444773,0.454728,1.64291,0.430122,-0.0035034,1.51761,0.324973,1.07469
1627020248.883527537,1.60948,0.246079,1.61043,1.48665,0.308546,1.45392,1.45453,0.188196,1.4551,1.40164,0.129228,1.16593,1.44454,0.122344,0.921091,1.55917,0.449316,1.44291,1.65421,0.496679,1.14849,1.6991,0.457752,0.868597,1.46399,0.217357,0.880003,1.43612,0.229771,0.520325,1.45831,0.23696,0.0471709,1.57273,0.40855,0.885964,1.56387,0.441413,0.456972,1.64291,0.430122,-0.0035034,1.49304,0.315853,1.07812
1627020248.899358500,1.60948,0.246079,1.61043,1.4989,0.312253,1.45092,1.47033,0.194059,1.45065,1.40164,0.129228,1.16593,1.44454,0.122344,0.921091,1.56665,0.447765,1.44353,1.65225,0.499586,1.14947,1.69694,0.454371,0.867696,1.4789,0.215612,0.870047,1.43612,0.229771,0.520325,1.46139,0.248938,0.0453122,1.58617,0.412998,0.884519,1.57201,0.44199,0.458751,1.6348,0.425634,0.00276331,1.51317,0.32235,1.07233
1627020248.911355617,1.60835,0.245876,1.60914,1.5065,0.311369,1.44733,1.47033,0.194059,1.45065,1.40164,0.129228,1.16593,1.44454,0.122344,0.921091,1.57621,0.450093,1.43936,1.65899,0.496039,1.15087,1.69873,0.456575,0.870622,1.48921,0.21346,0.870854,1.43612,0.229771,0.520325,1.44153,0.251901,0.0320079,1.60335,0.405323,0.888095,1.57379,0.444885,0.451642,1.6211,0.434742,-0.00322181,1.53032,0.317041,1.07279
1627020248.945794097,1.60835,0.245876,1.60914,1.50269,0.313985,1.44944,1.46279,0.196482,1.45222,1.39936,0.130876,1.16615,1.4328,0.132646,0.929976,1.57621,0.450093,1.43936,1.65541,0.49673,1.14944,1.70108,0.459234,0.868013,1.48014,0.219549,0.875602,1.44018,0.231776,0.518398,1.46985,0.239366,0.0240056,1.60014,0.408674,0.887422,1.57382,0.445062,0.453674,1.63935,0.43021,-0.00622217,1.51996,0.323324,1.07469
1627020248.972779104,1.60835,0.245876,1.60914,1.49953,0.313192,1.44987,1.46979,0.194574,1.44913,1.40205,0.12751,1.16482,1.444,0.12176,0.920886,1.56881,0.450844,1.44338,1.65351,0.499332,1.14892,1.69836,0.453567,0.866514,1.48166,0.217046,0.871814,1.43261,0.225073,0.519327,1.45915,0.246473,0.0423894,1.5881,0.411648,0.884714,1.57175,0.442315,0.458086,1.63224,0.426027,8.10108e-05,1.51578,0.322305,1.07268
1627020249.6457266,1.60596,0.24805,1.61023,1.50666,0.312337,1.44636,1.46979,0.194574,1.44913,1.40205,0.12751,1.16482,1.444,0.12176,0.920886,1.57765,0.452866,1.43938,1.65928,0.496295,1.14999,1.6997,0.455832,0.869292,1.49165,0.21486,0.872546,1.43261,0.225073,0.519327,1.44034,0.249536,0.0300294,1.60466,0.404316,0.888168,1.57441,0.444596,0.451952,1.61934,0.435635,-0.00371778,1.53219,0.317201,1.07307
1627020249.32606393,1.60596,0.24805,1.61023,1.5019,0.315132,1.44874,1.46147,0.197313,1.45104,1.39917,0.129613,1.16752,1.4316,0.132433,0.930124,1.57765,0.452866,1.43938,1.65334,0.497743,1.14922,1.69977,0.459062,0.867672,1.48158,0.221153,0.877396,1.43694,0.228317,0.517657,1.46828,0.237414,0.0225756,1.601,0.407793,0.887516,1.57501,0.444365,0.455499,1.63622,0.431385,-0.00587136,1.52093,0.323636,1.07514
