time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1626852234.672612559,0.759291,0.647288,1.53211,0.572695,0.557955,1.40817,0.508041,0.414701,1.47419,0.377294,0.324088,1.22574,0.27881,0.255268,1.01254,0.646302,0.696807,1.35661,0.884003,0.789298,1.1661,1.07634,0.849148,1.12389,0.406219,0.416041,0.98586,0.342043,0.302482,0.591217,0.110563,0.15775,0.0588668,0.504105,0.559962,0.937699,0.409364,0.46907,0.495748,0.423866,0.483095,0.0516988,0.543098,0.517731,1.10307
1626852234.721874887,0.759291,0.647288,1.53211,0.583333,0.560308,1.40698,0.508041,0.414701,1.47419,0.377294,0.324088,1.22574,0.27881,0.255268,1.01254,0.659046,0.706906,1.3569,0.905905,0.805347,1.18165,1.12811,0.86722,1.15839,0.406219,0.416041,0.98586,0.342043,0.302482,0.591217,0.110563,0.15775,0.0588668,0.501806,0.557412,0.931941,0.420463,0.477694,0.491994,0.433155,0.489414,0.0547393,0.583042,0.542135,1.10923
1626852234.747581661,0.759291,0.647288,1.53211,0.571053,0.556706,1.41305,0.517561,0.421607,1.47575,0.375451,0.326391,1.23105,0.276818,0.24822,1.0242,0.640477,0.699441,1.36106,0.905905,0.805347,1.18165,1.12811,0.86722,1.15839,0.376417,0.394679,0.992767,0.289817,0.263947,0.59231,0.0810817,0.143104,0.0990284,0.465114,0.539371,0.941618,0.404157,0.470562,0.506192,0.422476,0.484442,0.0699898,0.549529,0.525887,1.11603
1626852234.762113331,0.759291,0.647288,1.53211,0.574397,0.568257,1.41201,0.525217,0.434126,1.47417,0.378965,0.337773,1.23265,0.27658,0.250619,1.02483,0.645344,0.703579,1.35596,0.905905,0.805347,1.18165,1.12811,0.86722,1.15839,0.355083,0.395951,0.989596,0.270735,0.256742,0.590615,0.12123,0.107652,0.0875416,0.456631,0.541221,0.931748,0.404157,0.470562,0.506192,0.449094,0.475467,0.056077,0.529276,0.527772,1.11012
1626852234.785141314,0.784132,0.668046,1.51895,0.586635,0.574737,1.40412,0.525217,0.434126,1.47417,0.378965,0.337773,1.23265,0.27658,0.250619,1.02483,0.656987,0.70787,1.34569,0.905905,0.805347,1.18165,1.12811,0.86722,1.15839,0.351503,0.385165,0.973956,0.270735,0.256742,0.590615,0.12123,0.107652,0.0875416,0.460493,0.531384,0.916543,0.413201,0.470125,0.495721,0.429845,0.483933,0.0464942,0.534384,0.517611,1.10047
1626852234.812701830,0.784132,0.668046,1.51895,0.594721,0.578446,1.40215,0.525217,0.434126,1.47417,0.378965,0.337773,1.23265,0.27658,0.250619,1.02483,0.666902,0.71572,1.34816,0.865483,0.777961,1.17553,1.16094,0.870663,1.17533,0.471246,0.455667,0.994226,0.315099,0.296948,0.571035,0.133157,0.141382,0.0717535,0.46473,0.531473,0.911926,0.424631,0.477142,0.492474,0.437467,0.489427,0.0511621,0.565374,0.53691,1.10527
1626852234.829680634,0.784132,0.668046,1.51895,0.581466,0.57308,1.40857,0.528791,0.433254,1.47526,0.378749,0.333832,1.23593,0.274097,0.242588,1.03266,0.649169,0.709703,1.35264,0.865483,0.777961,1.17553,1.16094,0.870663,1.17533,0.445249,0.43478,0.999424,0.283934,0.267606,0.574414,0.109226,0.130451,0.109241,0.434825,0.517953,0.92327,0.409682,0.471135,0.505465,0.426804,0.484747,0.0658608,0.535491,0.521816,1.11215
1626852234.836459373,0.784132,0.668046,1.51895,0.582671,0.583109,1.40708,0.534106,0.443436,1.47392,0.382853,0.342697,1.23809,0.276606,0.245103,1.03324,0.655427,0.713203,1.34687,0.865483,0.777961,1.17553,1.16094,0.870663,1.17533,0.420999,0.430967,0.996003,0.265344,0.257554,0.573832,0.0974454,0.126303,0.131446,0.429977,0.521683,0.914596,0.409682,0.471135,0.505465,0.449118,0.479204,0.0552333,0.517139,0.524063,1.10614
1626852234.861531199,0.79918,0.676743,1.51059,0.593363,0.587719,1.40108,0.534106,0.443436,1.47392,0.382853,0.342697,1.23809,0.276606,0.245103,1.03324,0.66572,0.715512,1.33896,0.857569,0.787375,1.16163,1.16094,0.870663,1.17533,0.410126,0.416896,0.979668,0.265344,0.257554,0.573832,0.0974454,0.126303,0.131446,0.437164,0.515624,0.897248,0.418525,0.470555,0.495756,0.429861,0.488864,0.0457083,0.523966,0.514203,1.09486
1626852234.893748864,0.79918,0.676743,1.51059,0.601046,0.590685,1.3995,0.534106,0.443436,1.47392,0.382853,0.342697,1.23809,0.276606,0.245103,1.03324,0.673123,0.721635,1.33919,0.870327,0.796612,1.15776,1.15968,0.858226,1.15705,0.551316,0.503087,1.01421,0.431073,0.37305,0.62149,0.0974454,0.126303,0.131446,0.508546,0.557667,0.918191,0.428808,0.476432,0.49418,0.429861,0.488864,0.0457083,0.588595,0.548958,1.10072
