time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1626852245.230256844,3.01362,-0.690131,1.3844,3.06933,-0.715728,1.21701,3.0808,-0.553132,1.21267,3.09324,-0.478194,0.981389,3.23828,-0.375961,0.763069,3.0688,-0.849801,1.21688,3.07724,-0.90978,0.992858,3.11488,-1.02197,0.798359,3.10101,-0.598706,0.74642,3.04748,-0.58501,0.429467,3.28557,-0.575369,0.0534612,3.02276,-0.776281,0.711682,3.04741,-0.713041,0.40595,3.08264,-0.701071,0.0641987,3.03229,-0.715383,0.920683
1626852245.249497822,3.01362,-0.690131,1.3844,3.06933,-0.715728,1.21701,3.0808,-0.553132,1.21267,3.09324,-0.478194,0.981389,3.23828,-0.375961,0.763069,3.0688,-0.849801,1.21688,3.07724,-0.90978,0.992858,3.11488,-1.02197,0.798359,3.10101,-0.598706,0.74642,3.04748,-0.58501,0.429467,3.28557,-0.575369,0.0534612,3.02276,-0.776281,0.711682,3.04741,-0.713041,0.40595,3.08264,-0.701071,0.0641987,3.03229,-0.715383,0.920683
1626852245.257995081,3.01362,-0.690131,1.3844,3.06933,-0.715728,1.21701,3.0808,-0.553132,1.21267,3.09324,-0.478194,0.981389,3.23828,-0.375961,0.763069,3.0688,-0.849801,1.21688,3.07724,-0.90978,0.992858,3.11488,-1.02197,0.798359,3.10101,-0.598706,0.74642,3.04748,-0.58501,0.429467,3.28557,-0.575369,0.0534612,3.02276,-0.776281,0.711682,3.04741,-0.713041,0.40595,3.08264,-0.701071,0.0641987,3.03229,-0.715383,0.920683
1626852245.308193791,3.13422,-0.720743,1.44259,3.19542,-0.745535,1.2696,3.20828,-0.577078,1.26499,3.21996,-0.499213,1.02436,3.37095,-0.393179,0.794436,3.19452,-0.886315,1.26963,3.20387,-0.949244,1.03384,3.24049,-1.06464,0.834188,3.22851,-0.623454,0.779335,3.16953,-0.609882,0.449012,3.41115,-0.601074,0.0571839,3.14822,-0.809553,0.742888,3.17547,-0.743762,0.422382,3.21321,-0.729868,0.0654465,3.15727,-0.745441,0.960891
1626852245.325988816,3.13422,-0.720743,1.44259,3.22766,-0.65341,1.28424,3.21762,-0.529029,1.27865,3.24072,-0.485224,1.02513,3.30573,-0.432938,0.780363,3.19452,-0.886315,1.26963,3.20387,-0.949244,1.03384,3.24049,-1.06464,0.834188,3.23653,-0.547636,0.815095,3.15199,-0.584326,0.462703,3.31932,-0.593166,0.0864295,3.14822,-0.809553,0.742888,3.18583,-0.703086,0.426077,3.23716,-0.706483,0.0781228,3.15727,-0.745441,0.960891
1626852245.334747552,3.13422,-0.720743,1.44259,3.22766,-0.65341,1.28424,3.21762,-0.529029,1.27865,3.24072,-0.485224,1.02513,3.30573,-0.432938,0.780363,3.19452,-0.886315,1.26963,3.20387,-0.949244,1.03384,3.24049,-1.06464,0.834188,3.23653,-0.547636,0.815095,3.15199,-0.584326,0.462703,3.31932,-0.593166,0.0864295,3.14822,-0.809553,0.742888,3.18583,-0.703086,0.426077,3.23716,-0.706483,0.0781228,3.15727,-0.745441,0.960891
1626852245.396520846,3.04795,-0.741754,1.42549,3.19236,-0.636173,1.29092,3.18234,-0.522447,1.28011,3.1985,-0.492831,1.03445,3.24516,-0.451195,0.774534,3.15002,-0.899661,1.29668,3.14912,-0.958946,1.04593,3.14469,-1.03667,0.873275,3.18422,-0.540842,0.819313,3.09269,-0.583186,0.467917,3.1545,-0.593928,0.100601,3.10175,-0.816948,0.761757,3.17436,-0.708066,0.402472,3.23949,-0.702213,0.0670452,3.10343,-0.745053,0.973795
1626852245.404832388,3.04795,-0.741754,1.42549,3.19236,-0.636173,1.29092,3.18234,-0.522447,1.28011,3.1985,-0.492831,1.03445,3.24516,-0.451195,0.774534,3.15002,-0.899661,1.29668,3.14912,-0.958946,1.04593,3.14469,-1.03667,0.873275,3.18422,-0.540842,0.819313,3.09269,-0.583186,0.467917,3.1545,-0.593928,0.100601,3.10175,-0.816948,0.761757,3.17436,-0.708066,0.402472,3.23949,-0.702213,0.0670452,3.10343,-0.745053,0.973795
1626852245.422384001,3.04795,-0.741754,1.42549,3.18136,-0.62675,1.28651,3.16896,-0.515133,1.27712,3.18656,-0.488255,1.02894,3.22354,-0.454603,0.768227,3.15002,-0.899661,1.29668,3.14912,-0.958946,1.04593,3.14469,-1.03667,0.873275,3.16816,-0.517385,0.820526,3.07656,-0.57675,0.463039,3.12142,-0.597058,0.098684,3.10175,-0.816948,0.761757,3.17436,-0.708066,0.402472,3.22766,-0.705273,0.0649889,3.10343,-0.745053,0.973795
1626852245.479156594,3.00037,-0.730537,1.40716,3.14418,-0.628931,1.28019,3.13577,-0.515491,1.27052,3.14743,-0.49034,1.02488,3.19087,-0.452979,0.761707,3.10343,-0.893043,1.28965,3.10353,-0.953489,1.03579,3.08681,-1.02263,0.876067,3.12575,-0.522021,0.808955,3.03581,-0.577808,0.455004,3.04672,-0.598723,0.0969585,3.05559,-0.812225,0.75872,3.14488,-0.712331,0.394033,3.20757,-0.703401,0.0605357,3.056,-0.737651,0.964731
1626852245.495764951,3.00037,-0.730537,1.40716,3.14418,-0.628931,1.28019,3.13577,-0.515491,1.27052,3.14743,-0.49034,1.02488,3.19087,-0.452979,0.761707,3.10343,-0.893043,1.28965,3.10353,-0.953489,1.03579,3.08681,-1.02263,0.876067,3.12575,-0.522021,0.808955,3.03581,-0.577808,0.455004,3.04672,-0.598723,0.0969585,3.05559,-0.812225,0.75872,3.14488,-0.712331,0.394033,3.20757,-0.703401,0.0605357,3.056,-0.737651,0.964731
1626852245.504908593,3.00037,-0.730537,1.40716,3.1334,-0.613673,1.27318,3.12079,-0.50537,1.26547,3.13553,-0.486488,1.01762,3.16738,-0.456233,0.753508,3.10343,-0.893043,1.28965,3.10353,-0.953489,1.03579,3.08681,-1.02263,0.876067,3.11836,-0.517413,0.807348,3.01932,-0.575946,0.4543,3.02079,-0.591692,0.0968644,3.08524,-0.763525,0.767792,3.12884,-0.694587,0.387636,3.19826,-0.691327,0.0674944,3.07601,-0.679817,0.969327
1626852245.519069065,3.00037,-0.730537,1.40716,3.1334,-0.613673,1.27318,3.12079,-0.50537,1.26547,3.13553,-0.486488,1.01762,3.16738,-0.456233,0.753508,3.10343,-0.893043,1.28965,3.10353,-0.953489,1.03579,3.08681,-1.02263,0.876067,3.11836,-0.517413,0.807348,3.01932,-0.575946,0.4543,3.02079,-0.591692,0.0968644,3.08524,-0.763525,0.767792,3.12884,-0.694587,0.387636,3.19826,-0.691327,0.0674944,3.07601,-0.679817,0.969327
1626852245.563736971,2.89619,-0.714004,1.3796,3.08615,-0.62278,1.26521,3.08159,-0.507188,1.25476,3.08807,-0.489285,1.00639,3.13323,-0.451302,0.740372,3.00537,-0.88466,1.2857,3.00367,-0.952109,1.02554,2.96624,-1.01067,0.896869,3.06949,-0.529042,0.794511,2.97337,-0.575688,0.44704,2.97231,-0.593975,0.0872983,3.0109,-0.765137,0.769688,3.04669,-0.703668,0.386072,3.16396,-0.690387,0.0650347,3.00233,-0.67646,0.96313
1626852245.599066811,2.89619,-0.714004,1.3796,3.08615,-0.62278,1.26521,3.08159,-0.507188,1.25476,3.08807,-0.489285,1.00639,3.13323,-0.451302,0.740372,3.00537,-0.88466,1.2857,3.00367,-0.952109,1.02554,2.96624,-1.01067,0.896869,3.06949,-0.529042,0.794511,2.97337,-0.575688,0.44704,2.97231,-0.593975,0.0872983,3.0109,-0.765137,0.769688,3.04669,-0.703668,0.386072,3.16396,-0.690387,0.0650347,3.00233,-0.67646,0.96313
1626852245.614668224,2.89619,-0.714004,1.3796,3.0743,-0.608928,1.2585,3.06619,-0.5002,1.24884,3.07465,-0.488484,0.997013,3.10851,-0.457764,0.732016,3.01292,-0.83387,1.27591,3.00367,-0.952109,1.02554,2.96624,-1.01067,0.896869,3.06209,-0.528567,0.791864,2.9561,-0.569502,0.450483,2.95985,-0.586532,0.089895,3.01888,-0.749851,0.766664,3.04669,-0.703668,0.386072,3.1362,-0.726661,0.0568006,3.01005,-0.654855,0.960205
1626852245.630571686,2.89619,-0.714004,1.3796,3.0743,-0.608928,1.2585,3.06619,-0.5002,1.24884,3.07465,-0.488484,0.997013,3.10851,-0.457764,0.732016,3.01292,-0.83387,1.27591,3.00367,-0.952109,1.02554,2.96624,-1.01067,0.896869,3.06209,-0.528567,0.791864,2.9561,-0.569502,0.450483,2.95985,-0.586532,0.089895,3.01888,-0.749851,0.766664,3.04669,-0.703668,0.386072,3.1362,-0.726661,0.0568006,3.01005,-0.654855,0.960205
1626852245.667013622,2.83301,-0.697654,1.364,3.02984,-0.620037,1.25062,3.02796,-0.503455,1.23677,3.03063,-0.489903,0.986761,3.07259,-0.451244,0.723376,2.96928,-0.835429,1.26719,2.94084,-0.94778,1.01334,2.89774,-1.01343,0.895506,3.01649,-0.541213,0.781933,2.91841,-0.572279,0.447082,2.92692,-0.589075,0.0831704,2.96811,-0.755951,0.765804,2.95212,-0.717296,0.398596,3.08848,-0.722143,0.066643,2.96256,-0.660189,0.955173
1626852245.686440323,2.83301,-0.697654,1.364,3.02054,-0.611422,1.24815,3.01475,-0.496058,1.23345,3.01771,-0.485264,0.979867,3.04755,-0.453791,0.720386,2.96928,-0.835429,1.26719,2.94084,-0.94778,1.01334,2.89774,-1.01343,0.895506,3.00535,-0.530286,0.782395,2.90672,-0.565948,0.455386,2.91881,-0.580348,0.087715,2.96811,-0.755951,0.765804,2.95212,-0.717296,0.398596,3.06564,-0.714169,0.0861783,2.96256,-0.660189,0.955173
