time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1627020267.523167271,-1.20712,0.115156,1.33685,-1.16536,0.0891172,1.33974,-1.29463,0.0524654,1.31696,-1.10997,-0.000573719,1.06322,-1.05544,0.0412753,0.889384,-1.16305,0.200384,1.33522,-1.10204,0.127082,1.09226,-1.02934,0.220845,0.866252,-1.14477,0.0643298,0.84887,-1.20226,0.0327177,0.49846,-1.18696,0.0296007,0.126867,-1.1356,0.111254,0.859553,-1.19307,0.0660362,0.560138,-1.17825,0.0308785,0.10925,-1.14235,0.106922,1.03003
1627020267.540136422,-1.20712,0.115156,1.33685,-1.17324,0.0742827,1.34708,-1.27471,0.0262728,1.32448,-1.11854,-0.0442493,1.08253,-1.07721,-0.0531509,0.928487,-1.17062,0.198067,1.3397,-1.10204,0.127082,1.09226,-1.02934,0.220845,0.866252,-1.15964,0.0326619,0.867863,-1.20331,0.0153341,0.516639,-1.19335,0.0160397,0.146074,-1.15896,0.0976223,0.868361,-1.19905,0.0625317,0.558655,-1.18828,0.0317301,0.122128,-1.1628,0.0812331,1.04519
1627020267.587627060,-1.20712,0.115156,1.33685,-1.182,0.0842328,1.34867,-1.26633,0.0191099,1.32912,-1.11854,-0.0442493,1.08253,-1.07721,-0.0531509,0.928487,-1.16814,0.198031,1.3385,-1.10204,0.127082,1.09226,-1.02934,0.220845,0.866252,-1.18127,0.0448429,0.867781,-1.20603,0.0218244,0.516442,-1.19871,0.0203874,0.143473,-1.16537,0.111616,0.869425,-1.06624,-0.060853,0.40817,-1.18163,0.0366578,0.110232,-1.1808,0.0942234,1.04675
1627020267.604258548,-1.20712,0.115156,1.33685,-1.16635,0.0894041,1.34126,-1.23943,0.0561334,1.32684,-1.12019,0.0334834,1.07031,-1.07983,0.0362503,0.897328,-1.16814,0.198031,1.3385,-1.10204,0.127082,1.09226,-1.02934,0.220845,0.866252,-1.1579,0.0701755,0.85802,-1.20043,0.0368185,0.501994,-1.18166,0.030088,0.134889,-1.15132,0.09563,0.85593,-1.06624,-0.060853,0.40817,-1.17938,0.0273468,0.107878,-1.15791,0.101034,1.03597
1627020267.614192732,-1.20712,0.115156,1.33685,-1.1578,0.0906346,1.33459,-1.40459,0.0653607,1.28242,-1.12019,0.0334834,1.07031,-1.07983,0.0362503,0.897328,-1.1565,0.209133,1.32938,-1.10204,0.127082,1.09226,-1.02934,0.220845,0.866252,-1.14017,0.0571385,0.84297,-1.18998,0.0415514,0.481421,-1.18407,0.035978,0.11258,-1.12901,0.10735,0.8446,-1.06624,-0.060853,0.40817,-1.17938,0.0273468,0.107878,-1.13645,0.0980548,1.0228
1627020267.627823103,-1.20712,0.115156,1.33685,-1.16696,0.0752227,1.34211,-1.37744,0.0372414,1.29252,-1.12779,-0.0127951,1.08477,-1.08397,-0.0263358,0.905632,-1.16262,0.206268,1.33482,-1.10204,0.127082,1.09226,-1.02934,0.220845,0.866252,-1.15417,0.0284203,0.856626,-1.19311,0.0239525,0.499169,-1.19103,0.0219947,0.131179,-1.12901,0.10735,0.8446,-1.09803,-0.0375215,0.437874,-1.18932,0.0283147,0.120819,-1.13645,0.0980548,1.0228
1627020267.691264987,-1.20712,0.115156,1.33685,-1.1761,0.0856444,1.34322,-1.36097,0.0297965,1.29977,-1.12779,-0.0127951,1.08477,-1.08397,-0.0263358,0.905632,-1.15789,0.207785,1.33369,-1.11073,0.176901,1.07392,-1.02934,0.220845,0.866252,-1.17493,0.0407109,0.856367,-1.19643,0.0292838,0.499178,-1.19664,0.0261102,0.131186,-1.13468,0.121422,0.843455,-1.09803,-0.0375215,0.437874,-1.18052,0.0352769,0.109729,-1.15495,0.110159,1.02332
1627020267.702716226,-1.20712,0.115156,1.33685,-1.16497,0.0874714,1.33414,-1.51165,0.0425889,1.25825,-1.12779,-0.0127951,1.08477,-1.08397,-0.0263358,0.905632,-1.14651,0.217425,1.32323,-1.11073,0.176901,1.07392,-1.02934,0.220845,0.866252,-1.15832,0.0346551,0.840294,-1.18606,0.0351977,0.480181,-1.19135,0.0317559,0.111148,-1.11168,0.130246,0.833899,-1.09803,-0.0375215,0.437874,-1.18052,0.0352769,0.109729,-1.1338,0.10663,1.0114
1627020267.739634364,-1.20712,0.115156,1.33685,-1.16153,0.077895,1.33668,-1.41372,0.0475848,1.27914,-1.13286,0.00319109,1.08154,-1.09566,-0.0160653,0.892385,-1.15488,0.213178,1.32872,-1.11073,0.176901,1.07392,-1.02934,0.220845,0.866252,-1.15266,0.0339139,0.848271,-1.18879,0.0291683,0.489748,-1.18118,0.0266141,0.127478,-1.09957,0.117879,0.82719,-1.11903,-0.0235317,0.459238,-1.18262,0.0321033,0.120863,-1.117,0.112897,1.00664
1627020267.763816340,-1.20712,0.115156,1.33685,-1.17181,0.08714,1.33846,-1.38638,0.0373091,1.28882,-1.13286,0.00319109,1.08154,-1.09566,-0.0160653,0.892385,-1.15068,0.212957,1.32903,-1.12051,0.22447,1.06938,-1.02934,0.220845,0.866252,-1.1727,0.0457351,0.850279,-1.19317,0.0340237,0.491411,-1.18763,0.0304326,0.126806,-1.10926,0.131967,0.830886,-1.11903,-0.0235317,0.459238,-1.17276,0.0374523,0.109335,-1.13786,0.122924,1.01113
